# k1  k2  k3  B_rspace  err  B_sspace(w/oAP)  err  B_sspace(w/AP)  err  N-of-triangles
0.035 0.095 0.105 7.318285e+08 4.266802e+06 1.156942e+09 5.537842e+06 1.217148e+09 5.097948e+06 1449071352
0.035 0.095 0.115 7.971778e+08 3.000750e+06 1.304467e+09 4.990390e+06 1.382448e+09 2.174622e+06 1587658056
0.035 0.095 0.125 8.697215e+08 5.516273e+06 1.480677e+09 7.824659e+06 1.661473e+09 8.492575e+06 1462733814
0.035 0.095 0.135 8.439045e+08 9.634313e+06 1.468512e+09 1.351082e+07 2.080359e+09 1.593513e+07 336138350
0.035 0.105 0.105 6.401565e+08 1.179189e+07 1.002679e+09 1.442156e+07 1.062477e+09 1.236924e+07 1594343328
0.035 0.105 0.115 6.446587e+08 4.712121e+06 1.010884e+09 6.053232e+06 1.081208e+09 7.409704e+06 1746816792
0.035 0.105 0.125 7.028829e+08 3.867003e+06 1.138506e+09 6.094712e+06 1.202820e+09 5.006627e+06 1903956480
0.035 0.105 0.135 7.472062e+08 3.376333e+06 1.261539e+09 7.102533e+06 1.438107e+09 8.279861e+06 1733779986
0.035 0.105 0.145 7.316196e+08 6.517477e+06 1.264665e+09 9.569498e+06 1.889478e+09 1.955909e+07 398983278
0.035 0.115 0.115 5.824684e+08 2.911990e+06 8.905242e+08 5.024512e+06 9.536934e+08 5.103511e+06 1913862984
0.035 0.115 0.125 5.866620e+08 3.562813e+06 9.099355e+08 3.988055e+06 9.715845e+08 3.768515e+06 2086058424
0.035 0.115 0.135 6.219652e+08 2.008936e+06 9.983311e+08 3.866213e+06 1.067374e+09 4.125270e+06 2244847104
0.035 0.115 0.145 6.828304e+08 3.242976e+06 1.143890e+09 4.519873e+06 1.315594e+09 6.071542e+06 2042532426
0.035 0.125 0.125 5.579915e+08 4.761302e+06 8.496054e+08 5.227319e+06 9.010619e+08 7.173769e+06 2273684952
0.035 0.125 0.135 5.566042e+08 3.328996e+06 8.492292e+08 3.620614e+06 9.014676e+08 4.513471e+06 2446810944
0.035 0.125 0.145 5.919211e+08 3.358946e+06 9.405458e+08 4.594863e+06 1.006640e+09 4.569668e+06 2632074000
0.035 0.135 0.135 5.187416e+08 2.729745e+06 7.746230e+08 3.885461e+06 8.204172e+08 4.643718e+06 2633032320
0.035 0.135 0.145 5.184635e+08 2.269634e+06 7.817128e+08 3.023017e+06 8.364488e+08 4.087002e+06 2832454728
0.035 0.145 0.145 4.770164e+08 2.122464e+06 7.086098e+08 4.173211e+06 7.435081e+08 4.262187e+06 3046939008
0.045 0.045 0.045 1.279505e+09 6.188312e+07 2.052000e+09 8.718496e+07 2.075667e+09 7.537974e+07 371398488
0.045 0.045 0.055 1.176509e+09 2.387115e+07 1.878606e+09 3.586257e+07 2.018049e+09 3.856005e+07 454041192
0.045 0.045 0.065 1.196829e+09 2.099799e+07 1.952800e+09 2.842373e+07 2.092451e+09 2.486339e+07 540844728
0.045 0.045 0.075 1.240198e+09 1.488655e+07 2.098214e+09 2.430845e+07 2.259885e+09 1.901663e+07 620172144
0.045 0.045 0.085 1.334390e+09 1.855300e+07 2.363879e+09 2.564732e+07 2.593766e+09 2.259692e+07 595997526
0.045 0.045 0.095 1.341516e+09 2.713388e+07 2.377411e+09 5.836487e+07 2.942756e+09 7.367631e+07 143952210
0.045 0.055 0.055 1.065959e+09 2.034486e+07 1.682292e+09 2.747701e+07 1.806964e+09 2.459592e+07 555022608
0.045 0.055 0.065 9.568061e+08 1.147723e+07 1.534466e+09 1.752770e+07 1.640461e+09 1.895576e+07 661177944
0.045 0.055 0.075 1.018892e+09 1.519241e+07 1.644546e+09 1.890001e+07 1.764486e+09 1.934047e+07 758111160
0.045 0.055 0.085 1.094885e+09 8.916528e+06 1.836442e+09 1.477818e+07 1.953475e+09 8.565512e+06 857543904
0.045 0.055 0.095 1.188881e+09 8.322452e+06 2.074503e+09 1.314160e+07 2.296473e+09 7.717240e+06 816371142
0.045 0.055 0.105 1.161122e+09 1.182965e+07 2.088991e+09 2.294411e+07 2.626936e+09 2.524417e+07 189672330
0.045 0.065 0.065 9.291833e+08 1.621631e+07 1.464310e+09 2.414546e+07 1.557464e+09 1.718036e+07 787602216
0.045 0.065 0.075 8.720826e+08 8.866597e+06 1.381455e+09 1.192543e+07 1.479714e+09 2.007954e+07 903098712
0.045 0.065 0.085 9.011051e+08 1.254598e+07 1.450505e+09 1.685674e+07 1.539644e+09 1.725545e+07 1021506000
0.045 0.065 0.095 9.680180e+08 7.638949e+06 1.618006e+09 1.293888e+07 1.726545e+09 1.216731e+07 1149115344
0.045 0.065 0.105 1.065393e+09 6.372525e+06 1.855424e+09 1.258092e+07 2.060376e+09 1.306273e+07 1069024398
0.045 0.065 0.115 1.055054e+09 1.550693e+07 1.862577e+09 1.973598e+07 2.442149e+09 3.812662e+07 249212922
0.045 0.075 0.075 8.088573e+08 1.535277e+07 1.264954e+09 2.113786e+07 1.366553e+09 2.305458e+07 1035516888
0.045 0.075 0.085 7.806786e+08 8.014317e+06 1.228248e+09 1.063789e+07 1.310839e+09 1.033910e+07 1171315440
0.045 0.075 0.095 8.033380e+08 5.309789e+06 1.292148e+09 8.214958e+06 1.378310e+09 1.181748e+07 1317618480
0.045 0.075 0.105 8.739968e+08 7.490240e+06 1.456862e+09 1.281081e+07 1.540558e+09 1.430680e+07 1449683520
0.045 0.075 0.115 9.496490e+08 3.984502e+06 1.636190e+09 5.427449e+06 1.831543e+09 5.119673e+06 1345044822
0.045 0.075 0.125 9.507457e+08 1.094291e+07 1.659348e+09 1.941000e+07 2.236112e+09 2.075362e+07 310922106
0.045 0.085 0.085 6.988778e+08 7.897167e+06 1.098624e+09 7.379386e+06 1.170458e+09 1.009334e+07 1324898448
0.045 0.085 0.095 6.713059e+08 4.806095e+06 1.054224e+09 6.162552e+06 1.117695e+09 8.553384e+06 1490386824
0.045 0.085 0.105 6.915512e+08 5.914433e+06 1.106105e+09 6.724228e+06 1.192652e+09 9.329935e+06 1639781784
0.045 0.085 0.115 7.665185e+08 3.261003e+06 1.265987e+09 5.386367e+06 1.342988e+09 5.679529e+06 1796606928
0.045 0.085 0.125 8.303362e+08 3.988928e+06 1.416544e+09 6.700322e+06 1.579597e+09 8.287748e+06 1654726710
0.045 0.085 0.135 8.072611e+08 8.385621e+06 1.394580e+09 1.145893e+07 1.945064e+09 1.715628e+07 374087982
0.045 0.095 0.095 5.849599e+08 5.403992e+06 9.097480e+08 9.831606e+06 9.523587e+08 5.152554e+06 1676551632
0.045 0.095 0.105 5.713768e+08 3.846921e+06 8.927462e+08 5.544677e+06 9.475028e+08 4.112147e+06 1844617008
0.045 0.095 0.115 5.970502e+08 5.163768e+06 9.460396e+08 7.105420e+06 9.989087e+08 5.522409e+06 2021032176
0.045 0.095 0.125 6.420283e+08 4.214472e+06 1.054070e+09 4.885392e+06 1.106415e+09 3.296723e+06 2202829248
0.045 0.095 0.135 6.896527e+08 4.430711e+06 1.173302e+09 6.329328e+06 1.316618e+09 6.804848e+06 2002177650
0.045 0.095 0.145 6.736743e+08 1.262805e+07 1.160275e+09 1.779060e+07 1.649088e+09 2.062270e+07 455196414
0.045 0.105 0.105 5.169635e+08 8.175240e+06 7.925390e+08 8.740326e+06 8.558667e+08 1.142251e+07 2029513320
0.045 0.105 0.115 5.017743e+08 3.034334e+06 7.780541e+08 4.612089e+06 8.264877e+08 5.176554e+06 2223607272
0.045 0.105 0.125 5.172899e+08 2.801642e+06 8.147335e+08 3.697791e+06 8.728591e+08 4.261928e+06 2423646528
0.045 0.105 0.135 5.614480e+08 3.325684e+06 9.111646e+08 5.038624e+06 9.690123e+08 6.199219e+06 2608151064
0.045 0.105 0.145 5.979870e+08 3.073467e+06 1.008326e+09 4.551492e+06 1.155074e+09 5.514670e+06 2372292978
0.045 0.115 0.115 4.634778e+08 5.311764e+06 7.071491e+08 6.269943e+06 7.570482e+08 6.166059e+06 2436277632
0.045 0.115 0.125 4.609970e+08 3.633653e+06 7.037576e+08 3.739784e+06 7.506334e+08 3.665721e+06 2655431976
0.045 0.115 0.135 4.757813e+08 3.223619e+06 7.380494e+08 4.727914e+06 7.932851e+08 5.124737e+06 2857590120
0.045 0.115 0.145 5.158670e+08 4.013240e+06 8.306349e+08 5.420724e+06 8.818476e+08 5.846969e+06 3073985784
0.045 0.125 0.125 4.335387e+08 4.817942e+06 6.538009e+08 4.266537e+06 6.998371e+08 4.658355e+06 2894360496
0.045 0.125 0.135 4.377888e+08 2.649854e+06 6.587246e+08 3.952172e+06 6.990160e+08 3.562948e+06 3114630456
0.045 0.125 0.145 4.442223e+08 2.991074e+06 6.872770e+08 4.585573e+06 7.285622e+08 3.999792e+06 3350519160
0.045 0.135 0.135 4.082412e+08 2.563758e+06 6.064174e+08 2.746133e+06 6.514959e+08 2.817160e+06 3351758880
0.045 0.135 0.145 4.027834e+08 2.472543e+06 6.008473e+08 2.264281e+06 6.398286e+08 3.278884e+06 3605583960
